dataset,study_id
blue tit,R_126erjKKuN3IwSJ-2-2-1
blue tit,R_126erjKKuN3IwSJ-2-2-2
blue tit,R_126erjKKuN3IwSJ-1-1-1
blue tit,R_126erjKKuN3IwSJ-1-1-2
blue tit,R_12cozGev3IOOBG2-2-2-1
blue tit,R_1CC5PPCXcQPgu42-1-1-1
blue tit,R_1dzfML4yheLxG0D-1-1-1
blue tit,R_1E099fIoICERZIZ-1-1-2
blue tit,R_1E099fIoICERZIZ-1-1-1
blue tit,R_1E099fIoICERZIZ-2-2-2
blue tit,R_1E099fIoICERZIZ-2-2-1
blue tit,R_1f9Lv1lWGLjMFk8-2-2-1
blue tit,R_1f9Lv1lWGLjMFk8-1-1-1
blue tit,R_1ff6slHNcrTJ2JS-1-1-1
blue tit,R_1GEw0p99dpeSW3E-1-1-1
blue tit,R_1GEw0p99dpeSW3E-2-2-1
blue tit,R_1HeLJJFDOVIZbac-2-2-1
blue tit,R_1HeLJJFDOVIZbac-1-1-1
blue tit,R_1HeLJJFDOVIZbac-4-4-1
blue tit,R_1HeLJJFDOVIZbac-3-3-1
blue tit,R_1llU7rt7jpCEaKe-3-3-1
blue tit,R_1llU7rt7jpCEaKe-2-2-1
blue tit,R_1MRquC7DrqOiQ5p-1-1-1
blue tit,R_1o4ElmLsRiBa4FJ-1-1-1
blue tit,R_1o4ElmLsRiBa4FJ-3-3-1
blue tit,R_1o4ElmLsRiBa4FJ-2-2-1
blue tit,R_1o4ElmLsRiBa4FJ-4-4-1
blue tit,R_1QoRu2birFKL9Hx-1-1-1
blue tit,R_1rq3aFo8fdXcGP3-2-2-2
blue tit,R_1rq3aFo8fdXcGP3-2-2-1
blue tit,R_1rq3aFo8fdXcGP3-1-1-1
blue tit,R_1rq3aFo8fdXcGP3-1-1-2
blue tit,R_210APF6gYFATf7Y-1-1-1
blue tit,R_21an1zgH6j5Vfds-4-3-1
blue tit,R_21an1zgH6j5Vfds-4-3-2
blue tit,R_21an1zgH6j5Vfds-3-1-1
blue tit,R_21an1zgH6j5Vfds-3-1-2
blue tit,R_21an1zgH6j5Vfds-2-2-1
